id,name,supertype,subtypes,types,set,number,legalities,images,tcgplayer,cardmarket
sve-10,Basic Fire Energy,Energy,['Basic'],['Fire'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",10,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/10.png', 'large': 'https://images.pokemontcg.io/sve/10_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-10', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-10', 'updatedAt': '2024/09/19'}"
sve-11,Basic Water Energy,Energy,['Basic'],['Water'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",11,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/11.png', 'large': 'https://images.pokemontcg.io/sve/11_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-11', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-11', 'updatedAt': '2024/09/19'}"
sve-12,Basic Lightning Energy,Energy,['Basic'],['Lightning'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",12,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/12.png', 'large': 'https://images.pokemontcg.io/sve/12_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-12', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-12', 'updatedAt': '2024/09/19'}"
sve-13,Basic Psychic Energy,Energy,['Basic'],['Psychic'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",13,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/13.png', 'large': 'https://images.pokemontcg.io/sve/13_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-13', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-13', 'updatedAt': '2024/09/19'}"
sve-14,Basic Fighting Energy,Energy,['Basic'],['Fighting'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",14,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/14.png', 'large': 'https://images.pokemontcg.io/sve/14_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-14', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-14', 'updatedAt': '2024/09/19'}"
sve-15,Basic Darkness Energy,Energy,['Basic'],['Darkness'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",15,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/15.png', 'large': 'https://images.pokemontcg.io/sve/15_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-15', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-15', 'updatedAt': '2024/09/19'}"
sve-16,Basic Metal Energy,Energy,['Basic'],['Metal'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",16,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/16.png', 'large': 'https://images.pokemontcg.io/sve/16_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-16', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-16', 'updatedAt': '2024/09/19'}"
sve-9,Basic Grass Energy,Energy,['Basic'],['Grass'],"{'id': 'sve', 'name': 'Scarlet & Violet Energies', 'series': 'Scarlet & Violet', 'printedTotal': 16, 'total': 16, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'SVE', 'releaseDate': '2023/03/31', 'updatedAt': '2024/09/19 19:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/sve/symbol.png', 'logo': 'https://images.pokemontcg.io/sve/logo.png'}}",9,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sve/9.png', 'large': 'https://images.pokemontcg.io/sve/9_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sve-9', 'updatedAt': '2024/09/19'}","{'url': 'https://prices.pokemontcg.io/cardmarket/sve-9', 'updatedAt': '2024/09/19'}"
